,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Popularity,Popularity_Normalized
752,2017-04-07,BTCUSD,1191.56,1205.0,1175.2,1191.88,1736.15,2071180.27,73.83333333333333,7383.333333333333
753,2017-04-06,BTCUSD,1138.16,1206.79,1138.16,1191.56,3857.9,4523393.36,73.75,7375.0
754,2017-04-05,BTCUSD,1142.0,1146.88,1112.73,1138.16,2278.52,2575906.89,72.125,7212.5
755,2017-04-04,BTCUSD,1148.43,1165.65,1125.0,1142.0,3244.53,3715205.41,75.8,7580.0
756,2017-04-03,BTCUSD,1107.46,1161.4,1107.22,1148.43,4133.34,4697096.9,86.45833333333331,8645.833333333332
757,2017-04-02,BTCUSD,1091.73,1117.96,1081.0,1107.46,3050.13,3357947.01,79.16666666666667,7916.666666666667
758,2017-04-01,BTCUSD,1079.78,1108.22,1070.0,1091.73,2543.25,2764629.8,79.625,7962.5
759,2017-03-31,BTCUSD,1040.0,1088.96,1040.0,1079.78,3655.38,3887748.67,81.04166666666667,8104.166666666667
760,2017-03-30,BTCUSD,1043.43,1057.51,1022.79,1040.0,3219.29,3334701.23,81.66666666666667,8166.666666666667
761,2017-03-29,BTCUSD,1043.28,1060.06,1006.9,1043.43,3859.62,3989582.12,87.29166666666669,8729.166666666668
762,2017-03-28,BTCUSD,1039.85,1067.8,1016.13,1043.28,4577.26,4770481.14,87.64,8764.0
763,2017-03-27,BTCUSD,961.88,1044.44,948.32,1039.85,3333.18,3343247.18,71.04166666666667,7104.166666666667
764,2017-03-26,BTCUSD,951.08,994.57,923.01,961.88,2850.31,2740415.29,68.54166666666667,6854.166666666667
765,2017-03-25,BTCUSD,921.3,960.0,881.89,951.08,4831.51,4456357.29,81.25,8125.0
766,2017-03-24,BTCUSD,1024.03,1033.0,911.23,921.3,4796.6,4671288.4,76.83333333333333,7683.333333333333
767,2017-03-23,BTCUSD,1032.01,1052.63,1006.4,1024.03,2442.73,2524600.9,74.33333333333333,7433.333333333333
768,2017-03-22,BTCUSD,1110.37,1113.0,975.63,1032.01,3833.96,3993469.09,76.91666666666667,7691.666666666667
769,2017-03-21,BTCUSD,1030.0,1115.0,1030.0,1110.37,3491.84,3763874.71,77.08,7708.0
770,2017-03-20,BTCUSD,1017.94,1040.0,902.0,1030.0,3223.25,3272657.57,67.79166666666667,6779.166666666667
771,2017-03-19,BTCUSD,954.99,1040.0,943.9,1017.94,4297.88,4290977.36,72.16666666666667,7216.666666666667
772,2017-03-18,BTCUSD,1021.16,1080.0,923.6,954.99,6805.58,6748825.17,77.41666666666667,7741.666666666667
773,2017-03-17,BTCUSD,1165.1,1165.1,983.9,1021.16,8377.84,9162288.55,69.70833333333333,6970.833333333333
774,2017-03-16,BTCUSD,1252.92,1255.92,1025.0,1165.1,6820.64,8114949.8,66.16666666666667,6616.666666666667
775,2017-03-15,BTCUSD,1243.99,1259.0,1238.5,1252.92,2407.06,3012497.69,63.0,6300.0
776,2017-03-14,BTCUSD,1230.0,1259.72,1218.0,1243.99,2522.93,3125718.6,64.08,6408.0
777,2017-03-13,BTCUSD,1224.37,1241.06,1180.0,1230.0,4085.31,4979638.59,25.45833333333333,2545.833333333333
778,2017-03-12,BTCUSD,1174.97,1231.94,1138.0,1224.37,1955.0,2322804.32,24.54166666666667,2454.166666666667
779,2017-03-11,BTCUSD,1111.0,1191.09,1105.0,1174.97,3740.32,4325854.06,32.625,3262.5
780,2017-03-10,BTCUSD,1187.19,1310.98,968.0,1111.0,8293.93,9481328.7,37.79166666666666,3779.1666666666656
781,2017-03-09,BTCUSD,1143.39,1205.4,1105.0,1187.19,2289.18,2677187.48,27.5,2750.0
782,2017-03-08,BTCUSD,1224.92,1238.11,1131.34,1143.39,3161.96,3743740.96,28.79166666666667,2879.166666666667
783,2017-03-07,BTCUSD,1275.0,1279.9,1158.45,1224.92,4081.78,5023497.43,29.72,2972.0
784,2017-03-06,BTCUSD,1267.98,1279.91,1257.38,1275.0,1003.89,1277995.51,65.33333333333333,6533.333333333333
785,2017-03-05,BTCUSD,1261.27,1277.72,1237.78,1267.98,1199.65,1509058.95,61.5,6150.0
786,2017-03-04,BTCUSD,1277.0,1280.23,1232.5,1261.27,1414.87,1782784.54,75.125,7512.5
787,2017-03-03,BTCUSD,1254.0,1288.0,1235.28,1277.0,2729.15,3453515.39,90.5,9050.0
788,2017-03-02,BTCUSD,1225.0,1282.39,1212.42,1254.0,2886.48,3595097.32,68.0,6800.0
789,2017-03-01,BTCUSD,1180.0,1230.0,1177.18,1225.0,2248.94,2727608.92,56.375,5637.5
790,2017-02-28,BTCUSD,1190.21,1208.5,1175.81,1180.0,2027.03,2414482.79,56.44,5644.0
